ID	team	title	abstract	village	medal	awards	nominations	year	PIs	instructors	advisors	student leaders	students	roster members	section	country	region	wiki	status
3705	Example	Title not available	Abstract not available	Environment				2021	Traci Haddock, Traci Haddock				Abigail Sison, Fabio Maschi, Kamile Liucija Vainiute, Kitwa Ng, Michael Song, Nemanja Stijepovic, User for testing, Vinoo Selvarajah	10	Overgrad	United States	North America	https://2021.igem.org/Team:Example	Accepted
3706	Example_Commercial	Title not available	Abstract not available	High School				2021	Traci Haddock, Student, Kamile Liucija Vainiute					2	High School	United States	North America	https://2021.igem.org/Team:Example_Commercial	Accepted
3707	Example_HS	Title not available	Abstract not available	High School				2021	Kitwa Ng, Traci Haddock				Abigail Sison, Kitwa Ng	4	High School	United States	North America	https://2021.igem.org/Team:Example_HS	Accepted
3708	Example_CL	Title not available	Abstract not available	Software				2021	Kitwa Ng, Student, Kamile Liucija Vainiute					2		United States	North America	https://2021.igem.org/Team:Example_CL	Accepted
3709	UiOslo_Norway	PFASeOut	PFAS is a collection of per- and polyfluoroakyl compounds that are water-repellent, which in ski wax gives the skis better gliding properties. The International Ski Federation (FIS) has banned the use of PFAS in ski wax during skiing competitions due to the toxic effects they have on the environment and on the health of ski wax appliers. For this ban to be effective and fair for the athletes, there must be a way to efficiently detect PFAS containing wax during competitions. Currently, there are no functioning test for field-use. To tackle this problem, we are using synthetic biology to develop such a detection device. Our detection method exploit two different genes from bacteria which can recognize PFAS compounds and cleave their C-F bond. The presence of PFAS compounds will be based on detection of released fluoride ions , either colorimetrically or by measuring changes in conductivity.	Diagnostics	Silver Medal			2021	Dirk Linke	Athanasios Saragliadis, Kirsten Borse Haraldsen			Barathy Pirabahar, Carina Otilie Solberg, Hege Hovland, Helene Lourdes Bing, Jonas Ogaard, Linda Ngo	9	Overgrad	Norway	Europe	https://2021.igem.org/Team:UiOslo_Norway	Accepted
3710	Manchester	UriGel: Fighting Catheter Acquired Urinary Tract Infections With Engineered Bacteria	Catheterization is required in many hospital patients, and long-term catheterization leads to catheter-associated urinary tract infections (CAUTIs) in most patients. Talks with doctors identified there was no system in place to effectively prevent CAUTIs. To address this issue, we designed a hydrogel coating containing engineered bacteria which would sense pathogens and secrete biofilm degrading enzymes, secrete inhibitors of virulent enzymes, express a binding domain to attach to the hydrogel and depend on the urinary tract environment for survival (kill switch). Mathematical modelling of our hydrogel found that our secreted products would efficiently diffuse through the hydrogel. We created a model for our antibiofilm mechanism that can be used by future teams with similar mechanisms. Molecular docking modelling identified a candidate virulent enzyme inhibitor. Finally, a urea- and a sarcosine-responsive promoter were characterised to validate our kill switch mechanism. Overall, we have successfully designed a potential solution to CAUTIs.	Therapeutics	Gold Medal			2021	Eriko Takano, Rainer Breitling		Erik Hanko, Francesco Del Carratore, Katherine Baker, Rosie Brady		Atharva Torne, Hanna Szajn, Keana de Zoysa, Luke Roche, Matthew Lee, Rebecca Crossley, Sandra Lizeth Martinez Diaz, Sara Knurowska, Selin Ibrahimov, Thomas Pugh, Yiming Xu, Zain Asif	18	Undergrad	United Kingdom	Europe	https://2021.igem.org/Team:Manchester	Accepted
3711	HUST-China	Mr.Tony	An increasing number of people prefer perming or dyeing to add to their glamor and vigour, and existing hairdressing market scale in China alone is over 20 billion yuan, and that of overall beauty salon industry scale amounts to 380 billion yuan, according to a recent estimation. However, undesired health consequences brought by harmful chemicals used in perming and dyeing process are undisputable. Therefore, an optimized humanistic device for perming and dyeing based on engineered yeast producing natural pigments and short peptides was designed by HUST-China to tackle with this problem, which can produce enzyme to catalyze natural pigment precursors into natural pigments and express short peptides with abundant sulfhydryl. A xylose responding system was also created to fade the pigments ,straighten the curled hair, and resume the hair to its original state. Corresponding devices such as original fermenter were also designed to put engineered yeast in real life scenarios.	New Application	Gold Medal			2021	Yi Zhan, Kang Ning, Yunjun Yan, Yu Zhou			Bohan Wang, Changxin Fan, Jiacheng Shi	ChaoRan Liu, Daining Gu, Da Zheng, Jie Yang, Letian Gao, Mingyuan Cheng, Pei _Liu, Peng Chu, Qilong Lai, Ruihan Zhang, Shuang Han, Sicheng Wu, Teng Wang, Tiankai Dai, Wenjing Chen, Xilin Hou, Xinmin Liu, Xin Wei, Xiunan Huo, Yijin Li, Yuanyuan Zeng, Yuting Meng, Yuzhu Zhang, Zhengkai Zhuang, Zhichao Li, Ziqi Xie, Zuoming Fu	34	Undergrad	China	Asia	https://2021.igem.org/Team:HUST-China	Accepted
3712	HUST2-China	NANO-AI-Cleaner	As the eighth epidemic, acne plagues billions of people and is becoming one of the most common skin diseases. Abnormal proliferation of Propionibacterium acnes and corresponding immune responses are the main factors causing acne. To target both factors, we engineered probiotic E.coli Nissle 1917 to produce BLP-7 with elastin like peptide(ELP) and Toll-like receptor 2 (TLR2) antagonist with ELP under infrared induction, followed by in-situ assembly of sphere-like nanostructure NANO-AI-Cleaner through ELP-mediated hydrophobic interaction. ELP showed Intelligent temperature-controlled ability and significant skin-repairing effect while BLP-7 kills P. acnes by punching holes on the membrane surface and TLR2 antagonist blocks NF-kB pathway by competing for binding to acylated lipoproteins on the surface of P. acnes. In this way, our multi-functional nanostructure achieves antibacterial, anti-inflammatory and skin-repairing effects at the same time. We have successfully constructed NANO-AI-Cleaner, providing a convincing and promising treatment strategy for acne.	Therapeutics	Gold Medal			2021	Yi Zhan, Yu Zhou	Jun Hu, Sheng Wang	Yi Xiao	Yifan Li	Chuan Liang, Daohong Gong, Fengtong Nie, Jieyu Chen, Jing Wei Li, Qilong Lai, Shiyu Xie, Xinyuan Lin, Yalin Wang, Yangyiji, Yuchun Wang, Yudian Cao, Yukun Wang, Yunxian Wang, Zele Chen, Zhu Changyang, Zikai Lin	23	Undergrad	China	Asia	https://2021.igem.org/Team:HUST2-China	Accepted
3713	UIUC_Illinois	apPETite: Engineering the PET degrading enzyme with improved thermostability and degradation rate	Polyethylene terephthalate, or PET, is a plastic abundantly used in packaging and containers. Though PET is the most recycled plastic in the U.S., 3.1 million tons are produced annually and its current recycling rate is only 31%. Traditional remediation methods such as pelleting yield less products for every PET regeneration. Also, the microbial remediation with wild-type PET degrading enzymes (commonly called PETase) cannot be used under many current recycling conditions and has low degradation rates. To generate enzymes with higher degradation rates and thermostability, we developed machine learning algorithms to generate a number of candidate enzyme sequences. These candidate enzymes were then expressed and purified from E. coli BL21 and tested for the improved degradation of PET plastic using the NanoDrop method for validation. Project apPETite is an attempt to provide a framework for developing an enzyme with enhanced PET plastic degradation.	Environment	Bronze Medal			2021	Chris Rao	Anshu Deewan, Tarun Mahajan, William Woodruff			Angela Yoon, Jefrin Joseph, Kristin Lai, Mary Cook, Royal Shrestha, Suvarcha Narayan	10	Undergrad	United States	North America	https://2021.igem.org/Team:UIUC_Illinois	Accepted
3714	SJTU-BioX-Shanghai	Detection Blitz	We live in a world where monstrous industries operate ruthlessly, while the environment is crowded by numerous unknown hazardous bacteria and virus. Emergencies could occur without anyone foreseeing——by then, a lightning fast detection tool would play a vital role. SJTU-BioX-Shanghai think out of the box, constructing a platform that enables the automatic development of new fast detection test strips. With the help of an in vitro evolution strategy for aptazyme, we can effectively find biosensors for wide-ranging targets. Then two rational designed probes are introduced by our prediction model, which enables our nanogold based lateral flow system to show a positive signal with targets in existence. By virtue of the extremely short development cycle and equipment-free final products, our project possesses a bright prospect.	New Application	Silver Medal			2021	Lin He, Gang Ma	Yushu Wang	Chenxu Feng, Jiangying Liu, Keyi Li, Zhen Fang	Yuxin Lu	Bairun Chen, ChenHan Xiao, Dingkang Hu, He Yuying, HongYi Qian, Jiaqi Fei, Jiehan Zhang, Liu Ziyi, Qiao Yingrui, Ruobing Dai, Shihan Luo, Siyuan Ren, Xianghai Jiang, Xinyue Han, Xi Yu, YiFan Li, Zhinuo Zhou, ziao zhang, Zijian Zhu, Zixiu Chen	28	Undergrad	China	Asia	https://2021.igem.org/Team:SJTU-BioX-Shanghai	Accepted
